web-scraper-order,web-scraper-start-url,Course (Section),CRN,data,Instructor,Day&Time,Department,Credits,Title
"1756703611-1","https://ug-schedules.tuj.ac.jp/ug/academics/semester-info/schedule/spring2024/?_ga=2.126557963.72372095.1756703153-243220820.1754604944&_gl=1*1kej157*_gcl_au*MTk5NjA2MDYwNy4xNzU0NjA0OTQz*_ga*MjQzMjIwODIwLjE3NTQ2MDQ5NDQ.*_ga_SWHSQQF0DM*czE3NTY3MDMxNTMkbzMkZzEkdDE3NTY3MDMxOTIkajIxJGwwJGgw","ACCT 2101 (801)","49670","Class Info","Ho, M.","MWF 10:00-11:00","Accounting","3","Financial Accounting"
"1756703611-2","https://ug-schedules.tuj.ac.jp/ug/academics/semester-info/schedule/spring2024/?_ga=2.126557963.72372095.1756703153-243220820.1754604944&_gl=1*1kej157*_gcl_au*MTk5NjA2MDYwNy4xNzU0NjA0OTQz*_ga*MjQzMjIwODIwLjE3NTQ2MDQ5NDQ.*_ga_SWHSQQF0DM*czE3NTY3MDMxNTMkbzMkZzEkdDE3NTY3MDMxOTIkajIxJGwwJGgw","ACCT 2101 (802)","49671","Class Info","Sigaty, D.","TTh 15:50-17:20","Accounting","3","Financial Accounting"
"1756703611-3","https://ug-schedules.tuj.ac.jp/ug/academics/semester-info/schedule/spring2024/?_ga=2.126557963.72372095.1756703153-243220820.1754604944&_gl=1*1kej157*_gcl_au*MTk5NjA2MDYwNy4xNzU0NjA0OTQz*_ga*MjQzMjIwODIwLjE3NTQ2MDQ5NDQ.*_ga_SWHSQQF0DM*czE3NTY3MDMxNTMkbzMkZzEkdDE3NTY3MDMxOTIkajIxJGwwJGgw","ACCT 2102 (801)","49672","Class Info","Ho, M.","MWF 14:10-15:10","Accounting","3","Managerial Accounting"
"1756703611-4","https://ug-schedules.tuj.ac.jp/ug/academics/semester-info/schedule/spring2024/?_ga=2.126557963.72372095.1756703153-243220820.1754604944&_gl=1*1kej157*_gcl_au*MTk5NjA2MDYwNy4xNzU0NjA0OTQz*_ga*MjQzMjIwODIwLjE3NTQ2MDQ5NDQ.*_ga_SWHSQQF0DM*czE3NTY3MDMxNTMkbzMkZzEkdDE3NTY3MDMxOTIkajIxJGwwJGgw","ACCT 2102 (802)","49673","Class Info","Sigaty, D.","TTh 13:40-15:10","Accounting","3","Managerial Accounting"
"1756703611-5","https://ug-schedules.tuj.ac.jp/ug/academics/semester-info/schedule/spring2024/?_ga=2.126557963.72372095.1756703153-243220820.1754604944&_gl=1*1kej157*_gcl_au*MTk5NjA2MDYwNy4xNzU0NjA0OTQz*_ga*MjQzMjIwODIwLjE3NTQ2MDQ5NDQ.*_ga_SWHSQQF0DM*czE3NTY3MDMxNTMkbzMkZzEkdDE3NTY3MDMxOTIkajIxJGwwJGgw","ADV 0853 (801)","49752","Class Info","Foster, J.","TTh 15:50-17:20","Advertising","3","Advertising and Globalization"
"1756703611-6","https://ug-schedules.tuj.ac.jp/ug/academics/semester-info/schedule/spring2024/?_ga=2.126557963.72372095.1756703153-243220820.1754604944&_gl=1*1kej157*_gcl_au*MTk5NjA2MDYwNy4xNzU0NjA0OTQz*_ga*MjQzMjIwODIwLjE3NTQ2MDQ5NDQ.*_ga_SWHSQQF0DM*czE3NTY3MDMxNTMkbzMkZzEkdDE3NTY3MDMxOTIkajIxJGwwJGgw","ADV 1101 (801)","51925","Class Info","Eanes, R.","MWF 11:30-12:30","Advertising","3","Introduction to Media & Society"
"1756703611-7","https://ug-schedules.tuj.ac.jp/ug/academics/semester-info/schedule/spring2024/?_ga=2.126557963.72372095.1756703153-243220820.1754604944&_gl=1*1kej157*_gcl_au*MTk5NjA2MDYwNy4xNzU0NjA0OTQz*_ga*MjQzMjIwODIwLjE3NTQ2MDQ5NDQ.*_ga_SWHSQQF0DM*czE3NTY3MDMxNTMkbzMkZzEkdDE3NTY3MDMxOTIkajIxJGwwJGgw","ADV 1101 (802)","51926","Class Info","Eanes, R.","MWF 16:50-17:50","Advertising","3","Introduction to Media & Society"
"1756703611-8","https://ug-schedules.tuj.ac.jp/ug/academics/semester-info/schedule/spring2024/?_ga=2.126557963.72372095.1756703153-243220820.1754604944&_gl=1*1kej157*_gcl_au*MTk5NjA2MDYwNy4xNzU0NjA0OTQz*_ga*MjQzMjIwODIwLjE3NTQ2MDQ5NDQ.*_ga_SWHSQQF0DM*czE3NTY3MDMxNTMkbzMkZzEkdDE3NTY3MDMxOTIkajIxJGwwJGgw","ADV 2141 (801)","51927","Class Info","Eanes, R.","MWF 14:10-15:10","Advertising","3","Introduction Brand Strategy Research"
"1756703611-9","https://ug-schedules.tuj.ac.jp/ug/academics/semester-info/schedule/spring2024/?_ga=2.126557963.72372095.1756703153-243220820.1754604944&_gl=1*1kej157*_gcl_au*MTk5NjA2MDYwNy4xNzU0NjA0OTQz*_ga*MjQzMjIwODIwLjE3NTQ2MDQ5NDQ.*_ga_SWHSQQF0DM*czE3NTY3MDMxNTMkbzMkZzEkdDE3NTY3MDMxOTIkajIxJGwwJGgw","ANTH 2238 (801)","49610","Class Info","Horiguchi, S,","MWF 8:50-9:50","Anthropology","3","Visual Anthropology of Modern Japan"
"1756703611-10","https://ug-schedules.tuj.ac.jp/ug/academics/semester-info/schedule/spring2024/?_ga=2.126557963.72372095.1756703153-243220820.1754604944&_gl=1*1kej157*_gcl_au*MTk5NjA2MDYwNy4xNzU0NjA0OTQz*_ga*MjQzMjIwODIwLjE3NTQ2MDQ5NDQ.*_ga_SWHSQQF0DM*czE3NTY3MDMxNTMkbzMkZzEkdDE3NTY3MDMxOTIkajIxJGwwJGgw","ANTH 2373 (750)","49604","Class Info","Mock, J.","MWF 10:00-11:00","Anthropology","3","Japanese Culture"
